,accession,time,primarydoc,form,url
874,0001193125-20-154311,2020-05-28,d916063d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000078003/000119312520154311/d916063d8k.htm
875,0001193125-20-150192,2020-05-22,d860102d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000078003/000119312520150192/d860102d8k.htm
876,0001193125-20-147363,2020-05-20,d926491d424b5.htm,424B5,https://www.sec.gov/Archives/edgar/data/0000078003/000119312520147363/d926491d424b5.htm
877,0001225208-20-008013,2020-05-19,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820008013/xslF345X03/doc4.xml
878,0001225208-20-008012,2020-05-19,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820008012/xslF345X03/doc4.xml
879,0001225208-20-008011,2020-05-19,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820008011/xslF345X03/doc4.xml
880,0001225208-20-008010,2020-05-19,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820008010/xslF345X03/doc4.xml
881,0001225208-20-008009,2020-05-19,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820008009/xslF345X03/doc4.xml
882,0001225208-20-008008,2020-05-19,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820008008/xslF345X03/doc4.xml
883,0001193125-20-146185,2020-05-19,d812767d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000078003/000119312520146185/d812767d8k.htm
884,0001193125-20-145317,2020-05-19,d812556dfwp.htm,FWP,https://www.sec.gov/Archives/edgar/data/0000078003/000119312520145317/d812556dfwp.htm
885,0001193125-20-144571,2020-05-18,d926491d424b3.htm,424B3,https://www.sec.gov/Archives/edgar/data/0000078003/000119312520144571/d926491d424b3.htm
886,0000078003-20-000037,2020-05-07,pfe-03292020x10q.htm,10-Q,https://www.sec.gov/Archives/edgar/data/0000078003/000007800320000037/pfe-03292020x10q.htm
887,0001225208-20-006952,2020-05-01,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006952/xslF345X03/doc4.xml
888,0001225208-20-006951,2020-05-01,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006951/xslF345X03/doc4.xml
889,0001225208-20-006950,2020-05-01,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006950/xslF345X03/doc4.xml
890,0001225208-20-006949,2020-05-01,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006949/xslF345X03/doc4.xml
891,0001225208-20-006948,2020-05-01,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006948/xslF345X03/doc4.xml
892,0001225208-20-006947,2020-05-01,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006947/xslF345X03/doc4.xml
893,0001193125-20-126610,2020-04-30,d898645d425.htm,425,https://www.sec.gov/Archives/edgar/data/0000078003/000119312520126610/d898645d425.htm
894,0000078003-20-000034,2020-04-28,pfe-3292020x8kcoverpage.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000078003/000007800320000034/pfe-3292020x8kcoverpage.htm
895,0001225208-20-006714,2020-04-24,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006714/xslF345X03/doc4.xml
896,0001225208-20-006713,2020-04-24,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006713/xslF345X03/doc4.xml
897,0001225208-20-006712,2020-04-24,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006712/xslF345X03/doc4.xml
898,0001225208-20-006711,2020-04-24,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006711/xslF345X03/doc4.xml
899,0001225208-20-006710,2020-04-24,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006710/xslF345X03/doc4.xml
900,0001225208-20-006709,2020-04-24,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006709/xslF345X03/doc4.xml
901,0001225208-20-006708,2020-04-24,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006708/xslF345X03/doc4.xml
902,0001225208-20-006707,2020-04-24,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006707/xslF345X03/doc4.xml
903,0001225208-20-006706,2020-04-24,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006706/xslF345X03/doc4.xml
904,0001225208-20-006705,2020-04-24,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006705/xslF345X03/doc4.xml
905,0001225208-20-006704,2020-04-24,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006704/xslF345X03/doc4.xml
906,0001225208-20-006703,2020-04-24,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006703/xslF345X03/doc4.xml
907,0001225208-20-006702,2020-04-24,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006702/xslF345X03/doc4.xml
908,0000078003-20-000031,2020-04-24,a8-kcover42320.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000078003/000007800320000031/a8-kcover42320.htm
909,0001225208-20-006514,2020-04-16,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006514/xslF345X03/doc4.xml
910,0001225208-20-006513,2020-04-16,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006513/xslF345X03/doc4.xml
911,0001225208-20-006512,2020-04-16,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006512/xslF345X03/doc4.xml
912,0001225208-20-006511,2020-04-16,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006511/xslF345X03/doc4.xml
913,0001225208-20-006510,2020-04-16,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006510/xslF345X03/doc4.xml
914,0001225208-20-006301,2020-04-09,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006301/xslF345X03/doc4.xml
915,0001225208-20-006300,2020-04-09,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006300/xslF345X03/doc4.xml
916,0001225208-20-006299,2020-04-09,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006299/xslF345X03/doc4.xml
917,0001225208-20-006298,2020-04-09,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006298/xslF345X03/doc4.xml
918,0001225208-20-006297,2020-04-09,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006297/xslF345X03/doc4.xml
919,0000930413-20-001003,2020-04-07,c95514_defa14a.htm,DEFA14A,https://www.sec.gov/Archives/edgar/data/0000078003/000093041320001003/c95514_defa14a.htm
920,0001214659-20-003193,2020-04-06,r43200px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000078003/000121465920003193/r43200px14a6g.htm
921,0001225208-20-006083,2020-04-03,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006083/xslF345X03/doc4.xml
922,0001225208-20-006082,2020-04-03,xslF345X02/doc3.xml,3,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820006082/xslF345X02/doc3.xml
923,0001214659-20-003184,2020-04-03,px42205px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000078003/000121465920003184/px42205px14a6g.htm
924,0000078003-20-000029,2020-04-02,a8-kcover4120.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000078003/000007800320000029/a8-kcover4120.htm
925,0001225208-20-005803,2020-04-01,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005803/xslF345X03/doc4.xml
926,0001225208-20-005802,2020-04-01,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005802/xslF345X03/doc4.xml
927,0001225208-20-005801,2020-04-01,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005801/xslF345X03/doc4.xml
928,0001225208-20-005800,2020-04-01,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005800/xslF345X03/doc4.xml
929,0001225208-20-005799,2020-04-01,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005799/xslF345X03/doc4.xml
930,0001225208-20-005679,2020-03-30,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005679/xslF345X03/doc4.xml
931,0001225208-20-005678,2020-03-30,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005678/xslF345X03/doc4.xml
932,0001225208-20-005677,2020-03-30,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005677/xslF345X03/doc4.xml
933,0001225208-20-005676,2020-03-30,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005676/xslF345X03/doc4.xml
934,0001225208-20-005675,2020-03-30,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005675/xslF345X03/doc4.xml
935,0000930413-20-000918,2020-03-27,c95505_8k-ixbrl.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000078003/000093041320000918/c95505_8k-ixbrl.htm
936,0000930413-20-000912,2020-03-26,c95499_424b5.htm,424B5,https://www.sec.gov/Archives/edgar/data/0000078003/000093041320000912/c95499_424b5.htm
937,0000078003-20-000027,2020-03-26,imara_sch13gx320.htm,SC 13G,https://www.sec.gov/Archives/edgar/data/0000078003/000007800320000027/imara_sch13gx320.htm
938,0001193125-20-086948,2020-03-26,d886917d425.htm,425,https://www.sec.gov/Archives/edgar/data/0000078003/000119312520086948/d886917d425.htm
939,0000930413-20-000899,2020-03-25,c95501_fwp.htm,FWP,https://www.sec.gov/Archives/edgar/data/0000078003/000093041320000899/c95501_fwp.htm
940,0000930413-20-000872,2020-03-25,c95499_424b3.htm,424B3,https://www.sec.gov/Archives/edgar/data/0000078003/000093041320000872/c95499_424b3.htm
941,0000078003-20-000023,2020-03-16,xslF345X03/primary_doc.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000007800320000023/xslF345X03/primary_doc.xml
942,0001225208-20-005150,2020-03-16,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005150/xslF345X03/doc4.xml
943,0001225208-20-005149,2020-03-16,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005149/xslF345X03/doc4.xml
944,0001225208-20-005148,2020-03-16,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005148/xslF345X03/doc4.xml
945,0001225208-20-005147,2020-03-16,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005147/xslF345X03/doc4.xml
946,0001225208-20-005146,2020-03-16,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820005146/xslF345X03/doc4.xml
947,0000930413-20-000782,2020-03-13,c95418_defa14a.htm,DEFA14A,https://www.sec.gov/Archives/edgar/data/0000078003/000093041320000782/c95418_defa14a.htm
948,0000930413-20-000781,2020-03-13,c94228_def14a.htm,DEF 14A,https://www.sec.gov/Archives/edgar/data/0000078003/000093041320000781/c94228_def14a.htm
949,0000078003-20-000022,2020-03-11,xslF345X02/primary_doc.xml,3,https://www.sec.gov/Archives/edgar/data/0000078003/000007800320000022/xslF345X02/primary_doc.xml
950,0001225208-20-004638,2020-03-09,xslF345X02/doc3.xml,3,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820004638/xslF345X02/doc3.xml
951,0000876661-20-000184,2020-03-06,xslF25X02/primary_doc.xml,25-NSE,https://www.sec.gov/Archives/edgar/data/0000078003/000087666120000184/xslF25X02/primary_doc.xml
952,0001225208-20-004310,2020-03-04,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820004310/xslF345X03/doc4.xml
953,0001225208-20-004308,2020-03-04,xslF345X02/doc3.xml,3,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820004308/xslF345X02/doc3.xml
954,0000078003-20-000021,2020-03-04,a8-kcoverpage3.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000078003/000007800320000021/a8-kcoverpage3.htm
955,0001225208-20-004028,2020-03-03,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820004028/xslF345X03/doc4.xml
956,0001225208-20-004027,2020-03-03,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820004027/xslF345X03/doc4.xml
957,0001225208-20-004026,2020-03-03,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820004026/xslF345X03/doc4.xml
958,0001225208-20-004025,2020-03-03,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820004025/xslF345X03/doc4.xml
959,0001225208-20-004024,2020-03-03,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820004024/xslF345X03/doc4.xml
960,0001225208-20-004023,2020-03-03,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820004023/xslF345X03/doc4.xml
961,0001225208-20-004022,2020-03-03,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820004022/xslF345X03/doc4.xml
962,0001225208-20-004021,2020-03-03,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820004021/xslF345X03/doc4.xml
963,0001225208-20-004020,2020-03-03,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820004020/xslF345X03/doc4.xml
964,0001225208-20-004019,2020-03-03,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820004019/xslF345X03/doc4.xml
965,0001225208-20-004018,2020-03-03,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820004018/xslF345X03/doc4.xml
966,0001225208-20-003860,2020-03-02,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003860/xslF345X03/doc4.xml
967,0001225208-20-003857,2020-03-02,xslF345X02/doc3.xml,3,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003857/xslF345X02/doc3.xml
968,0000078003-20-000019,2020-03-02,a8-kcover2282020.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000078003/000007800320000019/a8-kcover2282020.htm
969,0001225208-20-003805,2020-02-28,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003805/xslF345X03/doc4.xml
970,0001225208-20-003804,2020-02-28,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003804/xslF345X03/doc4.xml
971,0001225208-20-003803,2020-02-28,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003803/xslF345X03/doc4.xml
972,0001225208-20-003802,2020-02-28,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003802/xslF345X03/doc4.xml
973,0001225208-20-003801,2020-02-28,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003801/xslF345X03/doc4.xml
974,0001225208-20-003800,2020-02-28,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003800/xslF345X03/doc4.xml
975,0001225208-20-003799,2020-02-28,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003799/xslF345X03/doc4.xml
976,0001225208-20-003798,2020-02-28,xslF345X03/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520820003798/xslF345X03/doc4.xml
