,accession,time,primarydoc,form,url
36,0000320193-24-000058,2024-04-17,xslF345X05/wk-form4_1713393040.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000058/xslF345X05/wk-form4_1713393040.xml
37,0000320193-24-000056,2024-04-15,xslF345X05/wk-form4_1713220262.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000056/xslF345X05/wk-form4_1713220262.xml
38,0000320193-24-000055,2024-04-15,xslF345X05/wk-form4_1713220215.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000055/xslF345X05/wk-form4_1713220215.xml
39,0001958244-24-001666,2024-04-11,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000195824424001666/xsl144X01/primary_doc.xml
40,0001973141-24-000220,2024-04-11,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000197314124000220/xsl144X01/primary_doc.xml
41,0001140361-24-018378,2024-04-05,filename1.htm,CORRESP,https://www.sec.gov/Archives/edgar/data/0000320193/000114036124018378/filename1.htm
42,0000320193-24-000052,2024-04-03,xslF345X05/wk-form4_1712183631.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000052/xslF345X05/wk-form4_1712183631.xml
43,0000320193-24-000051,2024-04-03,xslF345X05/wk-form4_1712183580.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000051/xslF345X05/wk-form4_1712183580.xml
44,0000320193-24-000050,2024-04-03,xslF345X05/wk-form4_1712183535.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000050/xslF345X05/wk-form4_1712183535.xml
45,0000320193-24-000049,2024-04-03,xslF345X05/wk-form4_1712183493.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000049/xslF345X05/wk-form4_1712183493.xml
46,0000320193-24-000048,2024-04-03,xslF345X05/wk-form4_1712183434.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000048/xslF345X05/wk-form4_1712183434.xml
47,0001973141-24-000208,2024-04-02,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000197314124000208/xsl144X01/primary_doc.xml
48,0001950047-24-002876,2024-04-02,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000195004724002876/xsl144X01/primary_doc.xml
49,0001959173-24-002769,2024-04-02,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000195917324002769/xsl144X01/primary_doc.xml
50,0000000000-24-003505,2024-04-02,filename1.pdf,UPLOAD,https://www.sec.gov/Archives/edgar/data/0000320193/000000000024003505/filename1.pdf
51,0001140361-24-015633,2024-03-27,ef20024616_sd.htm,SD,https://www.sec.gov/Archives/edgar/data/0000320193/000114036124015633/ef20024616_sd.htm
52,0000320193-24-000042,2024-03-20,filename1.htm,CORRESP,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000042/filename1.htm
53,0000000000-24-002512,2024-03-06,filename1.pdf,UPLOAD,https://www.sec.gov/Archives/edgar/data/0000320193/000000000024002512/filename1.pdf
54,0000320193-24-000039,2024-03-01,xslF345X05/wk-form4_1709336196.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000039/xslF345X05/wk-form4_1709336196.xml
55,0000320193-24-000038,2024-03-01,xslF345X05/wk-form4_1709336160.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000038/xslF345X05/wk-form4_1709336160.xml
56,0000320193-24-000037,2024-03-01,xslF345X05/wk-form4_1709336113.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000037/xslF345X05/wk-form4_1709336113.xml
57,0000320193-24-000036,2024-03-01,xslF345X05/wk-form4_1709336072.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000036/xslF345X05/wk-form4_1709336072.xml
58,0000320193-24-000035,2024-03-01,xslF345X05/wk-form4_1709336002.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000035/xslF345X05/wk-form4_1709336002.xml
59,0000320193-24-000034,2024-03-01,xslF345X05/wk-form4_1709335956.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000034/xslF345X05/wk-form4_1709335956.xml
60,0000320193-24-000033,2024-03-01,xslF345X05/wk-form4_1709335906.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000033/xslF345X05/wk-form4_1709335906.xml
61,0000320193-24-000032,2024-03-01,xslF345X02/wk-form3_1709335848.xml,3,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000032/xslF345X02/wk-form3_1709335848.xml
62,0001921094-24-000276,2024-02-29,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000192109424000276/xsl144X01/primary_doc.xml
63,0001140361-24-010155,2024-02-28,ny20022580x1_8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000320193/000114036124010155/ny20022580x1_8k.htm
64,0001193125-24-036431,2024-02-14,d751537dsc13ga.htm,SC 13G/A,https://www.sec.gov/Archives/edgar/data/0000320193/000119312524036431/d751537dsc13ga.htm
65,0001104659-24-020009,2024-02-13,tv0017-appleinc.htm,SC 13G/A,https://www.sec.gov/Archives/edgar/data/0000320193/000110465924020009/tv0017-appleinc.htm
66,0001086364-24-006980,2024-02-12,us0378331005_021224.txt,SC 13G/A,https://www.sec.gov/Archives/edgar/data/0000320193/000108636424006980/us0378331005_021224.txt
67,0001096906-24-000181,2024-02-09,nlpc_px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000320193/000109690624000181/nlpc_px14a6g.htm
68,0000320193-24-000022,2024-02-05,xslF345X05/wk-form4_1707176223.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000022/xslF345X05/wk-form4_1707176223.xml
69,0000320193-24-000021,2024-02-05,xslF345X05/wk-form4_1707176183.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000021/xslF345X05/wk-form4_1707176183.xml
70,0000320193-24-000020,2024-02-05,xslF345X05/wk-form4_1707176141.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000020/xslF345X05/wk-form4_1707176141.xml
71,0000320193-24-000019,2024-02-05,xslF345X05/wk-form4_1707176086.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000019/xslF345X05/wk-form4_1707176086.xml
72,0000320193-24-000018,2024-02-05,xslF345X05/wk-form4_1707176011.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000018/xslF345X05/wk-form4_1707176011.xml
73,0000320193-24-000017,2024-02-05,xslF345X05/wk-form4_1707175959.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000017/xslF345X05/wk-form4_1707175959.xml
74,0000320193-24-000016,2024-02-05,xslF345X05/wk-form4_1707175909.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000016/xslF345X05/wk-form4_1707175909.xml
75,0000320193-24-000015,2024-02-05,xslF345X05/wk-form4_1707175857.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000015/xslF345X05/wk-form4_1707175857.xml
76,0001096906-24-000156,2024-02-05,bowy_px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000320193/000109690624000156/bowy_px14a6g.htm
77,0001096906-24-000151,2024-02-02,bowy_px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000320193/000109690624000151/bowy_px14a6g.htm
78,0000320193-24-000006,2024-02-02,aapl-20231230.htm,10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000006/aapl-20231230.htm
79,0000320193-24-000005,2024-02-01,aapl-20240201.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000005/aapl-20240201.htm
80,0001096906-24-000149,2024-02-01,bowy_px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000320193/000109690624000149/bowy_px14a6g.htm
81,0001096906-24-000148,2024-02-01,bowy_px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000320193/000109690624000148/bowy_px14a6g.htm
82,0001096906-24-000147,2024-02-01,bowy_px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000320193/000109690624000147/bowy_px14a6g.htm
83,0001096906-24-000145,2024-02-01,bowy_px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000320193/000109690624000145/bowy_px14a6g.htm
84,0001214659-24-001028,2024-01-22,j119245px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000320193/000121465924001028/j119245px14a6g.htm
85,0001354457-24-000017,2024-01-17,xslF25X02/primary_doc.xml,25-NSE,https://www.sec.gov/Archives/edgar/data/0000320193/000135445724000017/xslF25X02/primary_doc.xml
86,0001308179-24-000011,2024-01-11,laapl2024_defa14a.htm,DEFA14A,https://www.sec.gov/Archives/edgar/data/0000320193/000130817924000011/laapl2024_defa14a.htm
87,0001308179-24-000010,2024-01-11,laapl2024_def14a.htm,DEF 14A,https://www.sec.gov/Archives/edgar/data/0000320193/000130817924000010/laapl2024_def14a.htm
88,0000320193-23-000113,2023-12-01,xslF345X05/wk-form4_1701473530.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000113/xslF345X05/wk-form4_1701473530.xml
89,0000320193-23-000111,2023-11-20,xslF345X05/wk-form4_1700523067.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000111/xslF345X05/wk-form4_1700523067.xml
90,0000320193-23-000109,2023-11-14,xslF345X05/wk-form4_1700004649.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000109/xslF345X05/wk-form4_1700004649.xml
91,0000320193-23-000106,2023-11-03,aapl-20230930.htm,10-K,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000106/aapl-20230930.htm
92,0000320193-23-000104,2023-11-02,aapl-20231102.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000104/aapl-20231102.htm
93,0000320193-23-000099,2023-10-17,xslF345X05/wk-form4_1697581839.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000099/xslF345X05/wk-form4_1697581839.xml
