,accession,time,primarydoc,form,url
0,0001062993-24-016766,2024-09-18,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016766/xslF345X05/form4.xml
1,0001062993-24-016765,2024-09-18,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016765/xslF345X05/form4.xml
2,0001062993-24-016764,2024-09-18,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016764/xslF345X05/form4.xml
3,0001062993-24-016763,2024-09-18,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016763/xslF345X05/form4.xml
4,0001062993-24-016762,2024-09-18,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016762/xslF345X05/form4.xml
5,0001062993-24-016761,2024-09-18,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016761/xslF345X05/form4.xml
6,0001062993-24-016594,2024-09-13,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016594/xslF345X05/form4.xml
7,0001062993-24-016593,2024-09-13,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016593/xslF345X05/form4.xml
8,0001062993-24-016592,2024-09-13,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016592/xslF345X05/form4.xml
9,0001062993-24-016591,2024-09-13,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016591/xslF345X05/form4.xml
10,0001062993-24-016590,2024-09-13,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016590/xslF345X05/form4.xml
11,0001062993-24-016589,2024-09-13,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016589/xslF345X05/form4.xml
12,0001062993-24-016588,2024-09-13,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016588/xslF345X05/form4.xml
13,0001062993-24-016587,2024-09-13,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016587/xslF345X05/form4.xml
14,0001062993-24-016495,2024-09-11,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016495/xslF345X05/form4.xml
15,0001062993-24-016494,2024-09-11,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016494/xslF345X05/form4.xml
16,0001062993-24-016493,2024-09-11,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016493/xslF345X05/form4.xml
17,0001959173-24-006372,2024-09-10,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000789019/000195917324006372/xsl144X01/primary_doc.xml
18,0001959173-24-006366,2024-09-10,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000789019/000195917324006366/xsl144X01/primary_doc.xml
19,0001062993-24-016347,2024-09-09,xslF345X05/form4.xml,4,https://www.sec.gov/Archives/edgar/data/0000789019/000106299324016347/xslF345X05/form4.xml
