,accession,time,primarydoc,form,url
0,0000200406-24-000086,2024-10-09,xslF345X02/wk-form3_1728508028.xml,3,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000086/xslF345X02/wk-form3_1728508028.xml
1,0000200406-24-000083,2024-09-20,jnj-20240920.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000083/jnj-20240920.htm
2,0001225208-24-008647,2024-09-12,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824008647/xslF345X05/doc4.xml
3,0001225208-24-008646,2024-09-12,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824008646/xslF345X05/doc4.xml
4,0000200406-24-000081,2024-09-10,jnj-20240910.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000081/jnj-20240910.htm
5,0001225208-24-008326,2024-09-03,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824008326/xslF345X05/doc4.xml
6,0001959173-24-006097,2024-08-30,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000200406/000195917324006097/xsl144X01/primary_doc.xml
7,0001021408-24-005775,2024-08-29,xslN-PX_X01/primary_doc.xml,N-PX,https://www.sec.gov/Archives/edgar/data/0000200406/000102140824005775/xslN-PX_X01/primary_doc.xml
8,0000200406-24-000079,2024-08-26,jnj-20240826.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000079/jnj-20240826.htm
9,0000904454-24-000451,2024-08-09,xslForm13F_X02/primary_doc.xml,13F-HR,https://www.sec.gov/Archives/edgar/data/0000200406/000090445424000451/xslForm13F_X02/primary_doc.xml
10,0000904454-24-000439,2024-07-30,rallybiosch13gforjjdc.htm,SC 13G,https://www.sec.gov/Archives/edgar/data/0000200406/000090445424000439/rallybiosch13gforjjdc.htm
11,0000200406-24-000075,2024-07-25,jnj-20240630.htm,10-Q,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000075/jnj-20240630.htm
12,0000200406-24-000071,2024-07-17,jnj-20240717.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000071/jnj-20240717.htm
13,0001225208-24-007379,2024-07-09,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824007379/xslF345X05/doc4.xml
14,0000200406-24-000067,2024-06-25,amendment2023form11-kaxjjs.htm,11-K/A,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000067/amendment2023form11-kaxjjs.htm
15,0000200406-24-000065,2024-06-24,a2023form11-kxjjretirement.htm,11-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000065/a2023form11-kxjjretirement.htm
16,0000200406-24-000063,2024-06-24,a2023form11-kxjjsavingsplan.htm,11-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000063/a2023form11-kxjjsavingsplan.htm
17,0001225208-24-006708,2024-06-06,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824006708/xslF345X05/doc4.xml
18,0001225208-24-006707,2024-06-06,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824006707/xslF345X05/doc4.xml
19,0000200406-24-000059,2024-05-28,coverformsd2023.htm,SD,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000059/coverformsd2023.htm
20,0000876661-24-000375,2024-05-21,JNJ3236A44052124.pdf,CERT,https://www.sec.gov/Archives/edgar/data/0000200406/000087666124000375/JNJ3236A44052124.pdf
21,0000904454-24-000345,2024-05-20,s13ga_051724-kenvue.htm,SC 13G/A,https://www.sec.gov/Archives/edgar/data/0000200406/000090445424000345/s13ga_051724-kenvue.htm
22,0001193125-24-142900,2024-05-20,d799580d8a12b.htm,8-A12B,https://www.sec.gov/Archives/edgar/data/0000200406/000119312524142900/d799580d8a12b.htm
23,0001193125-24-142828,2024-05-20,d746288d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000200406/000119312524142828/d746288d8k.htm
24,0000876661-24-000368,2024-05-20,xslF25X02/primary_doc.xml,25-NSE,https://www.sec.gov/Archives/edgar/data/0000200406/000087666124000368/xslF25X02/primary_doc.xml
25,0000200406-24-000053,2024-05-17,jnj-20240517.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000053/jnj-20240517.htm
26,0001193125-24-140574,2024-05-16,d838744d424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/0000200406/000119312524140574/d838744d424b2.htm
27,0001193125-24-139370,2024-05-15,d811802d424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/0000200406/000119312524139370/d811802d424b2.htm
28,0001193125-24-138346,2024-05-14,d838744dfwp.htm,FWP,https://www.sec.gov/Archives/edgar/data/0000200406/000119312524138346/d838744dfwp.htm
29,0001193125-24-137660,2024-05-14,d838744d424b5.htm,424B5,https://www.sec.gov/Archives/edgar/data/0000200406/000119312524137660/d838744d424b5.htm
30,0001193125-24-137391,2024-05-14,d811802dfwp.htm,FWP,https://www.sec.gov/Archives/edgar/data/0000200406/000119312524137391/d811802dfwp.htm
31,0001193125-24-136756,2024-05-13,d811802d424b5.htm,424B5,https://www.sec.gov/Archives/edgar/data/0000200406/000119312524136756/d811802d424b5.htm
32,0000904454-24-000285,2024-05-10,xslForm13F_X02/primary_doc.xml,13F-HR,https://www.sec.gov/Archives/edgar/data/0000200406/000090445424000285/xslForm13F_X02/primary_doc.xml
33,0001225208-24-005567,2024-05-03,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824005567/xslF345X05/doc4.xml
34,0000200406-24-000049,2024-05-01,jnj-20240331.htm,10-Q,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000049/jnj-20240331.htm
35,0000200406-24-000048,2024-05-01,jnj-20240501.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000048/jnj-20240501.htm
36,0001225208-24-005338,2024-04-29,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824005338/xslF345X05/doc4.xml
37,0001225208-24-005337,2024-04-29,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824005337/xslF345X05/doc4.xml
38,0001225208-24-005334,2024-04-29,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824005334/xslF345X05/doc4.xml
39,0001225208-24-005336,2024-04-29,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824005336/xslF345X05/doc4.xml
40,0001225208-24-005335,2024-04-29,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824005335/xslF345X05/doc4.xml
41,0001225208-24-005332,2024-04-29,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824005332/xslF345X05/doc4.xml
42,0001225208-24-005333,2024-04-29,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824005333/xslF345X05/doc4.xml
43,0001225208-24-005331,2024-04-29,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824005331/xslF345X05/doc4.xml
44,0001225208-24-005330,2024-04-29,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824005330/xslF345X05/doc4.xml
45,0001225208-24-005329,2024-04-29,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824005329/xslF345X05/doc4.xml
46,0001225208-24-005328,2024-04-29,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824005328/xslF345X05/doc4.xml
47,0000200406-24-000043,2024-04-29,jnj-20240425.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000043/jnj-20240425.htm
48,0000200406-24-000036,2024-04-16,jnj-20240416.htm,8-K/A,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000036/jnj-20240416.htm
49,0000200406-24-000031,2024-04-16,jnj-20240416.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000031/jnj-20240416.htm
50,0000904454-24-000255,2024-04-10,s13g_040924-contineum.htm,SC 13G,https://www.sec.gov/Archives/edgar/data/0000200406/000090445424000255/s13g_040924-contineum.htm
51,0000904454-24-000253,2024-04-10,xslF345X02/ownership.xml,3,https://www.sec.gov/Archives/edgar/data/0000200406/000090445424000253/xslF345X02/ownership.xml
52,0001193125-24-088685,2024-04-05,d810145ddfan14a.htm,DFAN14A,https://www.sec.gov/Archives/edgar/data/0000200406/000119312524088685/d810145ddfan14a.htm
53,0001096906-24-000603,2024-03-27,nlpc_px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000200406/000109690624000603/nlpc_px14a6g.htm
54,0001225208-24-004185,2024-03-13,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824004185/xslF345X05/doc4.xml
55,0001950047-24-002268,2024-03-13,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000200406/000195004724002268/xsl144X01/primary_doc.xml
56,0001308179-24-000109,2024-03-13,jnj4244661-ars.pdf,ARS,https://www.sec.gov/Archives/edgar/data/0000200406/000130817924000109/jnj4244661-ars.pdf
57,0000200406-24-000028,2024-03-13,a2024jnjdefa14a-additional.htm,DEFA14A,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000028/a2024jnjdefa14a-additional.htm
58,0000200406-24-000026,2024-03-13,a2024jnjdefa14a-amendmentf.htm,DEFA14A,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000026/a2024jnjdefa14a-amendmentf.htm
59,0000200406-24-000024,2024-03-13,jnj-20240311.htm,DEF 14A,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000024/jnj-20240311.htm
60,0001225208-24-003853,2024-03-07,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824003853/xslF345X05/doc4.xml
61,0001225208-24-003852,2024-03-07,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824003852/xslF345X05/doc4.xml
62,0000950170-24-027095,2024-03-06,xslF345X05/ownership.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000095017024027095/xslF345X05/ownership.xml
63,0001225208-24-002536,2024-02-20,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824002536/xslF345X05/doc4.xml
64,0001225208-24-002537,2024-02-20,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824002537/xslF345X05/doc4.xml
65,0001225208-24-002535,2024-02-20,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824002535/xslF345X05/doc4.xml
66,0001225208-24-002532,2024-02-20,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824002532/xslF345X05/doc4.xml
67,0001225208-24-002533,2024-02-20,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824002533/xslF345X05/doc4.xml
68,0001225208-24-002534,2024-02-20,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824002534/xslF345X05/doc4.xml
69,0001225208-24-002538,2024-02-20,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824002538/xslF345X05/doc4.xml
70,0001225208-24-002531,2024-02-20,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824002531/xslF345X05/doc4.xml
71,0001225208-24-002529,2024-02-20,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824002529/xslF345X05/doc4.xml
72,0001225208-24-002528,2024-02-20,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000200406/000122520824002528/xslF345X05/doc4.xml
